{'01044099999': -10.0, '02293099999': -27.6}
         312338 function calls (307852 primitive calls) in 0.710 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      326    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      268    0.000    0.000    0.000    0.000 types.py:164(__init__)
     2062    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       29    0.000    0.000    0.000    0.000 typing.py:334(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 sessions.py:356(Session)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
       13    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 models.py:640(Response)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1095    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       69    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1041    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
      661    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 load.py:28(download_all_data)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
      169    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
      433    0.000    0.000    0.000    0.000 typing.py:916(__eq__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:933(clear)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1562(__init__)
    73/61    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
